ticker,market_cap,lookup_status,bucket
BOX,3410254336.0,success,Mid-cap
BP,120445280256.0,success,Large-cap
BRK-B,1022550933504.0,success,Mega-cap
BRKR,6009769472.0,success,Mid-cap
BRO,22944311296.0,success,Large-cap
BROS,8522597888.0,success,Mid-cap
BSET,127911600.0,success,Small-cap
BSX,96021774336.0,success,Large-cap
BSY,10325549056.0,success,Large-cap
BTC,,no_cap,
BTG,6614625792.0,success,Mid-cap
BTU,3415008000.0,success,Mid-cap
BUD,146054627328.0,success,Large-cap
BURL,21312028672.0,success,Large-cap
BWA,10867990528.0,success,Large-cap
BWMN,544356352.0,success,Small-cap
BWXT,21842114560.0,success,Large-cap
BX,159126290432.0,success,Large-cap
BXC,433010464.0,success,Small-cap
BXP,9902796800.0,success,Mid-cap
BXR,,no_cap,
BYD,6490820096.0,success,Mid-cap
BYND,348181088.0,success,Small-cap
BZUN,155722848.0,success,Small-cap
C,230367821824.0,success,Mega-cap
C1PB34,,no_cap,
CABA,378497088.0,success,Small-cap
CACI,11742564352.0,success,Large-cap
CADE-PA,,no_cap,
CAH,49846992896.0,success,Large-cap
CAKE,3064838400.0,success,Mid-cap
CAMT,8357802496.0,success,Mid-cap
CAO,,no_cap,
CAR,13980449792.0,success,Large-cap
CARG,3422952192.0,success,Mid-cap
CARR,48938659840.0,success,Large-cap
CASY,27312027648.0,success,Large-cap
CAT,360423817216.0,success,Mega-cap
CAVA,10292450304.0,success,Large-cap
CB,127995691008.0,success,Large-cap
CBOE,31945345024.0,success,Large-cap
CBRE,43529981952.0,success,Large-cap
CBRL,655555520.0,success,Small-cap
CBT,3828888064.0,success,Mid-cap
CBU,3255175680.0,success,Mid-cap
CC,3457062400.0,success,Mid-cap
CCI,37366136832.0,success,Large-cap
CCJ,51876335616.0,success,Large-cap
CCK,11876240384.0,success,Large-cap
CCL,39919722496.0,success,Large-cap
CCLHF,543526848.0,success,Small-cap
CDK,,no_cap,
CDNA,903671488.0,success,Small-cap
CDNS,83959595008.0,success,Large-cap
CDRE,1413821952.0,success,Small-cap
CEG,106779107328.0,success,Large-cap
CELH,9066113024.0,success,Mid-cap
CERS,388186976.0,success,Small-cap
CERT,978708352.0,success,Small-cap
CF,18564728832.0,success,Large-cap
CFG,27705352192.0,success,Large-cap
CFLT,11133729792.0,success,Large-cap
CFR,8975286272.0,success,Mid-cap
CG,18802567168.0,success,Large-cap
CGC,516442592.0,success,Small-cap
CGNX,9125637120.0,success,Mid-cap
CHDN,6411369472.0,success,Mid-cap
CHGG,121860584.0,success,Small-cap
CHKP,14039115776.0,success,Large-cap
CHRS,281793024.0,success,Small-cap
CHRW,19937789952.0,success,Large-cap
CHWY,11321112576.0,success,Large-cap
CHXMF,722363520.0,success,Small-cap
CI,71758012416.0,success,Large-cap
CIEN,67302653952.0,success,Large-cap
CL,66984181760.0,success,Large-cap
CLDRX,,no_cap,
CLF,5510030336.0,success,Mid-cap
CLFD,385215712.0,success,Small-cap
CLH,15780785152.0,success,Large-cap
CLNE,506885472.0,success,Small-cap
CLS,43947945984.0,success,Large-cap
CLX,12554220544.0,success,Large-cap
CMA-PB,,no_cap,
CMC,7199000576.0,success,Mid-cap
CMCSA,103122214912.0,success,Large-cap
CME,107717722112.0,success,Large-cap
CMG,46610300928.0,success,Large-cap
CMI,83156312064.0,success,Large-cap
CNC,18490644480.0,success,Large-cap
CNH,13203672064.0,success,Large-cap
CNK,3492393984.0,success,Mid-cap
CNM,10432536576.0,success,Large-cap
CNO,4069968640.0,success,Mid-cap
CNQ,95708790784.0,success,Large-cap
CNX,5602187264.0,success,Mid-cap
COCO,2842121472.0,success,Mid-cap
COF,126239670272.0,success,Large-cap
COHR,57781911552.0,success,Large-cap
COIN,52825923584.0,success,Large-cap
COLD,3471467264.0,success,Mid-cap
COLM,3122322432.0,success,Mid-cap
COO,13714591744.0,success,Large-cap
COOK,106699352.0,success,Small-cap
COP,145360568320.0,success,Large-cap
COST,437100412928.0,success,Mega-cap
COTY,2024014592.0,success,Mid-cap
CPA,4964600320.0,success,Mid-cap
CPRI,2355830016.0,success,Mid-cap
CPRL34,,no_cap,
CPRT,32293070848.0,success,Large-cap
CPRX,3177285120.0,success,Mid-cap
CPT,10617172992.0,success,Large-cap
CQP,29822574592.0,success,Large-cap
CR,10989813760.0,success,Large-cap
CRH,77651615744.0,success,Large-cap
CRL,8909184000.0,success,Mid-cap
CRM,166411206656.0,success,Large-cap
CRNC,376351136.0,success,Small-cap
CRON,1046163456.0,success,Small-cap
CROX,5322393088.0,success,Mid-cap
CRS,21355835392.0,success,Large-cap
CRSP,5448125952.0,success,Mid-cap
CRSR,657040000.0,success,Small-cap
CRUS,8048003072.0,success,Mid-cap
CRWD,104275976192.0,success,Large-cap
CSCO,325412159488.0,success,Mega-cap
CSGP,16660473856.0,success,Large-cap
CSX,78305697792.0,success,Large-cap
CTAS,70599376896.0,success,Large-cap
CTRA,23995543552.0,success,Large-cap
CTSH,29147019264.0,success,Large-cap
CTVA,54689652736.0,success,Large-cap
CURV,215516992.0,success,Small-cap
CVE,47836680192.0,success,Large-cap
CVGI,134856096.0,success,Small-cap
CVI,3180788224.0,success,Mid-cap
CVM,37045896.0,success,Small-cap
CVNA,81898553344.0,success,Large-cap
CVS,96107503616.0,success,Large-cap
CVX,368322019328.0,success,Mega-cap
CWEN,8264165888.0,success,Mid-cap
CWH,435745728.0,success,Small-cap
CX,17221384192.0,success,Large-cap
CXM,1346356096.0,success,Small-cap
CXU,,no_cap,
CYBR,,no_cap,
CYRX,504193856.0,success,Small-cap
CYTK,8051152896.0,success,Mid-cap
D,54829821952.0,success,Large-cap
DAL,47297003520.0,success,Large-cap
DAN,3875013376.0,success,Mid-cap
DAR,9276135424.0,success,Mid-cap
DASH,78168506368.0,success,Large-cap
DATAAX,,no_cap,
DAVA,256426272.0,success,Small-cap
DBRG,3047145984.0,success,Mid-cap
DBX,5653347328.0,success,Mid-cap
DD,18878943232.0,success,Large-cap
DDD,296514656.0,success,Small-cap
DDOG,42837241856.0,success,Large-cap
DE,155754676224.0,success,Large-cap
DECK,15867240448.0,success,Large-cap
DEH,,no_cap,
DELL,117481611264.0,success,Large-cap
DFH,1249406080.0,success,Small-cap
DFIN,1416519680.0,success,Small-cap
DFSV,,no_cap,
DG,26770710528.0,success,Large-cap
DGII,2032883200.0,success,Mid-cap
DGX,21187241984.0,success,Large-cap
DHI,41976553472.0,success,Large-cap
DHR,140223561728.0,success,Large-cap
DIDIY,17926993920.0,success,Large-cap
DIN,361123904.0,success,Small-cap
DIS,182729801728.0,success,Large-cap
DKNG,11719359488.0,success,Large-cap
DKS,19521452032.0,success,Large-cap
DLO,3990429440.0,success,Mid-cap
DLR,68453232640.0,success,Large-cap
DLTH,120215608.0,success,Small-cap
DLTR,20149792768.0,success,Large-cap
DLX,1322379008.0,success,Small-cap
DMBS,,no_cap,
DOC,11958414336.0,success,Large-cap
DOCN,8077499392.0,success,Mid-cap
DOCS,4499683328.0,success,Mid-cap
DOCU,9107004416.0,success,Mid-cap
DOMO,133337192.0,success,Small-cap
DORM,3221157632.0,success,Mid-cap
DOUG,158097760.0,success,Small-cap
DOV,29058363392.0,success,Large-cap
DOW,27950016512.0,success,Large-cap
DPZ,12377788416.0,success,Large-cap
DRI,22991003648.0,success,Large-cap
DRS,12314377216.0,success,Large-cap
DRVN,2101724928.0,success,Mid-cap
DT,10687759360.0,success,Large-cap
DUKB,,no_cap,
DUOL,4637749760.0,success,Mid-cap
DVA,9664360448.0,success,Mid-cap
DVAX,,no_cap,
DVN,28108417024.0,success,Large-cap
DXCM,24001601536.0,success,Large-cap
DY,11838177280.0,success,Large-cap
EA,50861563904.0,success,Large-cap
EADSY,161263681536.0,success,Large-cap
EAT,6985920000.0,success,Mid-cap
EB,452958144.0,success,Small-cap
EBAY,45204520960.0,success,Large-cap
EBS,448335616.0,success,Small-cap
ECL,76358918144.0,success,Large-cap
ED,40629493760.0,success,Large-cap
EDIT,329828640.0,success,Small-cap
EE,3853179648.0,success,Mid-cap
EFX,22540576768.0,success,Large-cap
EHTH,49716804.0,success,Small-cap
EL,27708291072.0,success,Large-cap
ELAN,11600583680.0,success,Large-cap
ELF,4166224640.0,success,Mid-cap
EME,35975639040.0,success,Large-cap
EMN,8318956032.0,success,Mid-cap
EMR,78947205120.0,success,Large-cap
ENB,114824282112.0,success,Large-cap
ENPH,4240807424.0,success,Mid-cap
ENR,1321355776.0,success,Small-cap
ENSG,11561292800.0,success,Large-cap
ENTG,20857335808.0,success,Large-cap
EOG,71026106368.0,success,Large-cap
