test,window,tier,n,mean,median,t_stat,p_value
prior_return_profile,30d,portfolio,228,0.034089111901832524,0.022361966366373193,3.917203395357052,0.00011854953878882281
prior_return_profile,30d,hold_rec,1440,0.04596052064061195,0.02454080980480773,8.80711733842463,3.6155532878249725e-18
prior_return_profile,30d,no_hold,3044,0.02978398111631542,0.013728269888279174,9.32578957847529,2.0556704102928158e-20
prior_return_profile,60d,portfolio,223,0.04725968909742658,0.015461499594763553,4.292761105423345,2.636703942919584e-05
prior_return_profile,60d,hold_rec,1408,0.3933597809622409,0.03579151088541078,1.2302680979595049,0.2188023755916605
prior_return_profile,60d,no_hold,2985,0.055613291492381374,0.02172258277026617,7.644392920930007,2.811334951093293e-14
prior_return_profile,90d,portfolio,217,0.0529577327932164,0.03645671411506966,3.80553950178662,0.00018426802551142573
prior_return_profile,90d,hold_rec,1373,0.57621014371608,0.041593579073454366,1.2185965135101373,0.22320686355727146
prior_return_profile,90d,no_hold,2900,0.0770721412172955,0.022189447151161484,7.927647723820655,3.1579668949772927e-15
prior_return_profile,180d,portfolio,204,0.10525839519408635,0.05035636575873019,3.9281420810990957,0.00011729899802966751
prior_return_profile,180d,hold_rec,1267,0.20228730095030034,0.05561744332799555,6.667815804032553,3.8676359504371324e-11
prior_return_profile,180d,no_hold,2693,0.1644240552119258,0.028504419100031833,7.969244613432663,2.335332143672283e-15
