n_seq,n_kept,n_hold_e,n_nohold_e,hold_entry_alpha,nohold_entry_alpha,diff_p,nohold_p,holdstate_alpha,holdstate_p,singleton_alpha,big16_alpha,hold_window,non_hold_window,prune_gap,prune_price
5611,9387,285,4801,3.8283152042105266,-1.8482905865444696,0.08070604705034705,0.017087818021392025,2.4425769655667144,0.04370165686203473,-2.6599441780778896,19.284221630701754,90,60,60,0.1
5459,9381,258,4700,3.527695691472868,-1.6487578952553188,0.13147414478366223,0.03675416772016636,0.936635440868455,0.41144176298895174,-2.6289203135609442,19.56045073421053,120,60,60,0.1
5342,9375,239,4613,2.1709945694560675,-1.7066386659007153,0.2784900594534145,0.03309890348570356,1.3055627955451352,0.22718180979456565,-2.611198803923476,19.136461284070798,150,60,60,0.1
5237,9373,229,4541,2.3455206244541484,-1.7782188035014312,0.2616005355672932,0.028380455387674208,1.3363846172792102,0.19461054970971967,-2.6975202016065576,18.881596931531536,180,60,60,0.1
6204,9555,254,5344,4.915456679133857,-1.2042069554827843,0.08388654554227337,0.10774258703195348,0.936635440868455,0.41144176298895174,-1.6608064906350912,24.560387022680413,120,45,60,0.1
5459,9381,258,4700,3.527695691472868,-1.6487578952553188,0.13147414478366223,0.03675416772016636,0.936635440868455,0.41144176298895174,-2.6289203135609442,19.56045073421053,120,60,60,0.1
4477,9381,259,3817,4.08697965019305,-2.0471197735132303,0.08527778399385942,0.02468163789609045,0.936635440868455,0.41144176298895174,-3.4155386359471724,18.60280110933333,120,90,60,0.1
3856,9381,259,3263,6.475355094594594,-2.457318271713147,0.015112276061199597,0.015567899247490937,0.936635440868455,0.41144176298895174,-4.091270371073558,21.719005435632184,120,120,60,0.1
5459,10834,258,4700,3.527695691472868,-1.6487578952553188,0.13147414478366223,0.03675416772016636,1.0775948876325088,0.26867290417150663,-2.6289203135609442,19.56045073421053,120,60,30,0.1
5459,10386,258,4700,3.527695691472868,-1.6487578952553188,0.13147414478366223,0.03675416772016636,0.63443715,0.5198660047239059,-2.6289203135609442,19.56045073421053,120,60,30,0.15
5459,10202,258,4700,3.527695691472868,-1.6487578952553188,0.13147414478366223,0.03675416772016636,0.44779332352941176,0.6512644716620559,-2.6289203135609442,19.56045073421053,120,60,30,0.2
5459,9381,258,4700,3.527695691472868,-1.6487578952553188,0.13147414478366223,0.03675416772016636,0.936635440868455,0.41144176298895174,-2.6289203135609442,19.56045073421053,120,60,60,0.1
5459,8707,258,4700,3.527695691472868,-1.6487578952553188,0.13147414478366223,0.03675416772016636,0.6537812862518091,0.583687155260333,-2.6289203135609442,19.56045073421053,120,60,60,0.15
5459,8369,258,4700,3.527695691472868,-1.6487578952553188,0.13147414478366223,0.03675416772016636,-0.06153698819444469,0.9590661918725877,-2.6289203135609442,19.56045073421053,120,60,60,0.2
5459,8878,258,4700,3.527695691472868,-1.6487578952553188,0.13147414478366223,0.03675416772016636,1.3020113024781343,0.30253467393303585,-2.6289203135609442,19.56045073421053,120,60,90,0.1
5459,8092,258,4700,3.527695691472868,-1.6487578952553188,0.13147414478366223,0.03675416772016636,1.17643381791559,0.38706272519096696,-2.6289203135609442,19.56045073421053,120,60,90,0.15
5459,7698,258,4700,3.527695691472868,-1.6487578952553188,0.13147414478366223,0.03675416772016636,0.41673720707547135,0.7666480955853792,-2.6289203135609442,19.56045073421053,120,60,90,0.2
